unclean_title,Date,Title,description,genres,release_year,cast,duration
Bridgerton: Season 1: Oceans Apart,5/17/23,Bridgerton,"No drawing room is complete without the merry crackle of the fireplace. So curl up, Gentle Reader, with your copy of Whisteldown, and enjoy a respite.",,,,
Bridgerton: Season 1: Swish,5/17/23,Bridgerton,"No drawing room is complete without the merry crackle of the fireplace. So curl up, Gentle Reader, with your copy of Whisteldown, and enjoy a respite.",,,,
Dr.STONE: Season 3: First Contact,5/16/23,Dr.STONE,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.",,2019,,
Dr.STONE: Season 3: Greed Equals Justice,5/16/23,Dr.STONE,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.",,2019,,
VINLAND SAGA: Season 2: The First Measure,5/16/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
Bridgerton: Season 1: The Duke and I,5/15/23,Bridgerton,"No drawing room is complete without the merry crackle of the fireplace. So curl up, Gentle Reader, with your copy of Whisteldown, and enjoy a respite.",,,,
Bridgerton: Season 1: An Affair of Honor,5/15/23,Bridgerton,"No drawing room is complete without the merry crackle of the fireplace. So curl up, Gentle Reader, with your copy of Whisteldown, and enjoy a respite.",,,,
Bridgerton: Season 1: Art of the Swoon,5/15/23,Bridgerton,"No drawing room is complete without the merry crackle of the fireplace. So curl up, Gentle Reader, with your copy of Whisteldown, and enjoy a respite.",,,,
Bridgerton: Season 1: Shock and Delight,5/15/23,Bridgerton,"No drawing room is complete without the merry crackle of the fireplace. So curl up, Gentle Reader, with your copy of Whisteldown, and enjoy a respite.",,,,
Hell's Paradise: Jigokuraku: Emotion and Reason,5/14/23,Hell's Paradise,"After the Terra dei Fuochi scandal, we became aware of the presence of toxic industrial waste in Southern Italy. Not only is the whole of Europe contaminated, but the rest of the planet as well.",,2021,,
【OSHI NO KO】: Season 1: Actors,5/12/23,【OSHI NO KO】,"Goro is a gynecologist and idol fan who’s in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he’s about to forge a bond with her that defies all common sense! Lies are an idol’s weapon!",,2024,,
Kota Factory: Season 2: Repair & Maintenance,5/6/23,Kota Factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,2019,,
Kota Factory: Season 2: Atmospheric Pressure,5/6/23,Kota Factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,2019,,
Kota Factory: Season 2: Control System,5/5/23,Kota Factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,2019,,
Kota Factory: Season 2: Reasoning,5/4/23,Kota Factory,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",,2019,,
20th Century Girl,5/4/23,20th Century Girl,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",,2022,,
Kapil Sharma: I'm Not Done Yet,5/3/23,Kapil Sharma,"From the liquid courage behind his tweets to the sobering realities of making it in Mumbai, Kapil's pouring his heart out — with a heavy glug of humor.",,2022,,
Dr.STONE: Season 3: New World Map,5/3/23,Dr.STONE,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.",,2019,,
Hell's Paradise: Jigokuraku: Samurai and Woman,5/2/23,Hell's Paradise,"After the Terra dei Fuochi scandal, we became aware of the presence of toxic industrial waste in Southern Italy. Not only is the whole of Europe contaminated, but the rest of the planet as well.",,2021,,
VINLAND SAGA: Season 1: Episode 8,5/1/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
Chandigarh Kare Aashiqui,5/1/23,Chandigarh Kare Aashiqui,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.",,2021,,
【OSHI NO KO】: Season 1: Manga-Based TV Drama,5/1/23,【OSHI NO KO】,"Goro is a gynecologist and idol fan who’s in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he’s about to forge a bond with her that defies all common sense! Lies are an idol’s weapon!",,2024,,
【OSHI NO KO】: Season 1: Third Option,4/30/23,【OSHI NO KO】,"Goro is a gynecologist and idol fan who’s in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he’s about to forge a bond with her that defies all common sense! Lies are an idol’s weapon!",,2024,,
【OSHI NO KO】: Season 1: Mother and Children,4/29/23,【OSHI NO KO】,"Goro is a gynecologist and idol fan who’s in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he’s about to forge a bond with her that defies all common sense! Lies are an idol’s weapon!",,2024,,
VINLAND SAGA: Season 1: Episode 7,4/27/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 1: Episode 6,4/27/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 1: Episode 5,4/27/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 1: Episode 4,4/27/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
Parasyte: The Maxim: The Sun Also Rises,4/25/23,Parasyte,"Flashes of memories, an empty cell, and evil waiting beyond. We follow our protagonist along her journey to survive and escape...by any means necessary.",,,,
VINLAND SAGA: Season 2: Storm,4/25/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Freedom,4/25/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Dark Clouds,4/25/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: For The Love That Was Lost,4/25/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: The King and the Sword,4/25/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Cursed Head,4/25/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Oath,4/24/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: An Empty Man,4/24/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Iron Fist Ketil,4/24/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: I Want a Horse,4/24/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: The Path of Blood,4/24/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Awakening,4/23/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Snake,4/23/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
Hell's Paradise: Jigokuraku: Weakness and Strength,4/23/23,Hell's Paradise,"After the Terra dei Fuochi scandal, we became aware of the presence of toxic industrial waste in Southern Italy. Not only is the whole of Europe contaminated, but the rest of the planet as well.",,2021,,
VINLAND SAGA: Season 2: Ketil's Farm,4/23/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
VINLAND SAGA: Season 2: Slave,4/23/23,VINLAND SAGA,"For a thousand years, the Vikings have made quite a name and reputation for themselves as the strongest families with a thirst for violence. Thorfinn, the son of one of the Vikings' greatest warriors, spends his boyhood in a battlefield enhancing his skills in his adventure to redeem his most-desired revenge after his father was murdered.",,2019,,
The Possession of Hannah Grace,4/22/23,The Possession of Hannah Grace,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",,2018,,
Hell's Paradise: Jigokuraku: Sorting and Selection,4/21/23,Hell's Paradise,"After the Terra dei Fuochi scandal, we became aware of the presence of toxic industrial waste in Southern Italy. Not only is the whole of Europe contaminated, but the rest of the planet as well.",,2021,,
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Master of the Mansion",4/18/23,Demon Slayer,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",,2025,,
Conversations with a Killer: The Jeffrey Dahmer Tapes: Sympathy for the Devil,4/17/23,Conversations with a Killer,"Richard Kuklinski was a devoted husband, loving father--and ruthless killer of over 100 people. You'll meet him in this powerful documentary that features one of the most vivid and disturbing interviews ever recorded--taped behind the walls of the prison where Kuklinski is serving two consecutive life sentences for multiple homicide.",,1992,,
Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Closing the Net,4/17/23,Don't F**k with Cats,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,,2019,,
Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Killing for Clicks,4/17/23,Don't F**k with Cats,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,,2019,,
Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Cat and Mouse,4/17/23,Don't F**k with Cats,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,,2019,,
Gods of Egypt,4/11/23,Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,,2016,,
The Queen's Gambit: Limited Series: End Game,4/11/23,The Queen's Gambit,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life.",,2021,,
The Playlist: Limited Series: The Industry,4/11/23,The Playlist,A film about a boy's turbulent time in high school.,,2018,,
The Queen's Gambit: Limited Series: Adjournment,4/7/23,The Queen's Gambit,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life.",,2021,,
The Queen's Gambit: Limited Series: Fork,4/7/23,The Queen's Gambit,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life.",,2021,,
The Playlist: Limited Series: The Vision,4/7/23,The Playlist,A film about a boy's turbulent time in high school.,,2018,,
Made in Abyss: The Golden City of the Scorching Sun: Value,4/2/23,Made in Abyss,"A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss.",,2020,,
Made in Abyss: The Golden City of the Scorching Sun: All That You Gather,4/2/23,Made in Abyss,"A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss.",,2020,,
Made in Abyss: The Golden City of the Scorching Sun: Return,4/2/23,Made in Abyss,"A continuation of the epic adventure of plucky Riko and Reg who are joined by their new friend Nanachi. Together they descend into the Abyss' treacherous fifth layer, the Sea of Corpses, and encounter the mysterious Bondrewd, a legendary White Whistle whose shadow looms over Nanachi's troubled past. Bondrewd is ingratiatingly hospitable, but the brave adventurers know things are not always as they seem in the enigmatic Abyss.",,2020,,
Orange Is the New Black: Season 7: Here's Where We Get Off,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: The Big House,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: God Bless America,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: The Thirteenth,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: The Hidey Hole,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: Baker's Dozen,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: Me as Well,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: Trapped in an Elevator,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: Minority Deport,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: How to Do Life,4/2/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: And Brown Is the New Orange,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: Just Desserts,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 7: Beginning of the End,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Be Free,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Double Trouble,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Well This Took a Dark Turn,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Chocolate Chip Nookie,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Break the String,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Gordons,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Changing Winds,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: State of the Uterus,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Mischief Mischief,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: I'm the Talking Ass,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Look Out for Number One,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Sh*tstorm Coming,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 6: Who Knows Better Than I,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: Storm-y Weather,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: Tattoo You,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: Breaking the Fiberboard Ceiling,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: The Reverse Midas Touch,4/1/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: The Tightening,3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: Tied to the Tracks,3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
"Orange Is the New Black: Season 5: Full Bush, Half Snickers",3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
"Orange Is the New Black: Season 5: Flaming Hot Cheetos, Literally",3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
"Orange Is the New Black: Season 5: Sing It, White Effie",3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: Litchfield's Got Talent,3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
Orange Is the New Black: Season 5: Pissters!,3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
"Orange Is the New Black: Season 5: F*ck, Marry, Frieda",3/31/23,Orange Is the New Black,"To promote the start of season five, Špela Čadež summarises the first four seasons of the legendary US comedy drama show for Netflix. From the streaming provider’s logo to the canteen food through to vomit – Čadež “unravels” her condensed version of the stories from the women’s prison in soft and scratchy wool, yellow as urine and red as blood.",,2017,,
